date,state,duration,close,ma60,bias_60,vol_ratio,short_signals
20260413,SYSTEMIC_BEAR,28,4646.1546,4647.882665,-0.000371796,1.0635048020991225,
20260414,SIDEWAYS,3,4701.2837,4646.922024999999,0.0116984263363018,1.1565470007594238,
20260415,SIDEWAYS,4,4685.2464,4645.17754,0.0086259049637961,1.1514547690770067,
20260416,SIDEWAYS,5,4736.6077,4644.770461666666,0.0197721801521231,1.076644910883542,
20260417,SIDEWAYS,6,4728.6716,4644.549478333332,0.0181120089384544,1.1104139523117602,
20260420,SIDEWAYS,7,4757.4419,4644.649688333334,0.0242843312704471,1.182767549063079,
20260421,SIDEWAYS,8,4767.997,4645.251758333334,0.0264238082352518,1.105155645074133,
20260422,SIDEWAYS,9,4799.627,4646.337948333335,0.0329913694120444,1.1696511578397204,
20260423,SIDEWAYS_UP,1,4786.3273,4647.4621,0.0298797918115352,1.2925229929498383,
20260424,SIDEWAYS_UP,2,4769.3688,4648.23376,0.0260604449462972,1.2427104608875774,
20260424,SIDEWAYS_UP,2,4769.3688,4648.23376,0.0260604449462972,1.2427104608875774,
20260427,SIDEWAYS,1,4770.9469,4649.0210566666665,0.0262261327378787,1.1635601453949551,
20260427,SIDEWAYS,1,4770.9469,4649.0210566666665,0.0262261327378787,1.1635601454018405,
20260427,SIDEWAYS,1,4770.9469,4649.0210566666665,0.0262261327378787,1.1635601454018405,
20260427,SIDEWAYS,1,4770.9469,4649.0210566666665,0.0262261327378787,1.1635601454018405,
20260427,SIDEWAYS,1,4770.9469,4649.0210566666665,0.0262261327378787,1.1635601454018405,
20260427,SIDEWAYS,1,4770.9469,4649.0210566666665,0.0262261327378787,1.1635601454018405,
20260427,SIDEWAYS,1,4770.9469,4649.0210566666665,0.0262261327378787,1.1635601454018405,
20260427,SIDEWAYS,1,4770.9469,4649.0210566666665,0.0262261327378787,1.1635601454018405,
20260428,SIDEWAYS,2,4758.2083,4649.949584999999,0.0232816965046731,1.113728606080894,
20260428,SIDEWAYS,2,4758.2083,4649.949584999999,0.0232816965046731,1.113728606080894,
20260429,SIDEWAYS,2,,,,,
20260430,SIDEWAYS,3,4807.3069,4653.366216666666,0.033081574964371745,1.2358193783217255,
