trade_date,open,high,low,close,volume,amount,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d
20210317,0.983,0.999,0.971,0.993,487323.0,48136.025,487323.0,,,,,,,,0.0,0.0,0.0,,,,
20210318,0.993,0.999,0.971,0.971,295341.0,28930.794,295341.0,,,,,,,,-0.0017549857549857,-0.0003509971509971,-0.0028079772079772,,,,
20210319,0.968,0.978,0.951,0.967,311999.0,30182.714,311999.0,,,,,,,,-0.0034290630757867,-0.000966610335955,-0.0049249054796633,,,,
20210322,0.964,0.986,0.958,0.977,303233.0,29547.91,303233.0,,,,,,,,-0.0039038636766902,-0.0015540610041021,-0.0046996053451763,,,,
20210323,0.98,0.985,0.929,0.936,413108.0,39230.234,413108.0,,,,362200.8,,,,-0.007502025245185,-0.0027436538523186,-0.0095167427857327,,,,
20210324,0.921,0.933,0.904,0.907,293184.0,26807.675,293184.0,,,,323373.0,,,,-0.0125489948473369,-0.0047047220513223,-0.0156885455920292,,,,
20210325,0.907,0.923,0.903,0.911,292114.0,26732.361,292114.0,,,,322727.6,,,,-0.0160410765031843,-0.0069719929416947,-0.0181381671229791,,,,
20210326,0.915,0.938,0.91,0.932,370197.0,34246.397,370197.0,,,,334367.2,,,,-0.0169190199486125,-0.0089613983430783,-0.0159152432110685,,,,
20210329,0.93,0.939,0.92,0.927,300751.0,27953.336,300751.0,,,,333870.8,,,,-0.0178129184320834,-0.0107317023608793,-0.0141624321424082,,,,
20210330,0.929,0.961,0.915,0.954,461273.0,43259.793,461273.0,,,,343503.8,,,,-0.0161564238714743,-0.0118166466629983,-0.0086795544169519,,,,
20210331,0.949,0.949,0.921,0.929,326015.0,30282.346,326015.0,,,,350070.0,,0.0316999999999999,,-0.0166687837015215,-0.0127870740707029,-0.0077634192616372,,,,
20210401,0.924,0.935,0.921,0.93,263873.0,24526.414,263873.0,,,,344421.8,,0.0302999999999999,,-0.0168004754919971,-0.0135897543549618,-0.0064214422740706,,,,
20210402,0.931,0.931,0.914,0.921,293427.0,27034.229,293427.0,,,,329067.8,,0.0292999999999999,,-0.0174301431285007,-0.0143578321096696,-0.0061446220376623,,,,
20210406,0.919,0.938,0.918,0.931,359288.0,33441.593,359288.0,,,,340775.2,,0.0284999999999999,,-0.0169271175658924,-0.0148716892009141,-0.0041108567299566,,,,
20210407,0.931,0.947,0.918,0.945,401187.0,37407.042,401187.0,,,,328758.0,,0.0257999999999999,,-0.0152232984776279,-0.0149420110562569,-0.0005625748427419,15.617128463476044,20.654911838790945,,
20210408,0.944,0.956,0.93,0.943,373595.0,35289.402,373595.0,,,,338274.0,,0.0251999999999999,,-0.0138744567591572,-0.0147285001968369,0.0017080868753595,17.974683544303783,20.759493670886098,,
20210409,0.945,0.956,0.935,0.947,342567.0,32444.481,342567.0,,,,354012.8,,0.0252999999999999,,-0.0123404701505643,-0.0142508941875824,0.0038208480740361,18.25192802056554,15.938303341902326,,
20210412,0.95,0.954,0.918,0.92,347682.0,32358.188,347682.0,,,,364863.8,,0.0260999999999999,,-0.0131518428059339,-0.0140310839112527,0.0017584822106376,15.869017632241803,19.89924433249373,,
20210413,0.919,0.919,0.897,0.903,441836.0,39900.007,441836.0,,,,381373.4,,0.0264999999999999,,-0.0149937804384208,-0.0142236232166863,-0.0015403144434688,17.307692307692296,19.505494505494557,,
