trade_date,open,high,low,close,volume,amount,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d
20241216,1.021,1.023,0.993,0.998,1802391.66,181577.558,1802391.66,,,,,,,,0.0,0.0,0.0,,,,
20241217,0.998,1.003,0.974,0.974,757546.32,74783.908,757546.32,,,,,,,,-0.0019145299145298,-0.0003829059829059,-0.0030632478632478,,,,
20241218,0.981,1.004,0.958,0.996,673984.19,66414.032,673984.19,,,,,,,,-0.0016377139795943,-0.0006338675822436,-0.0020076927947013,,,,
20241219,0.983,1.028,0.98,1.023,3154986.73,320703.656,3154986.73,,,,,,,,0.0007516741629288,-0.0003567592332091,0.002216866792276,,,,
20241220,1.023,1.055,1.012,1.034,1904558.71,197217.267,1904558.71,,,,1658693.522,,,,0.003492628700086,0.0004131183534498,0.0061590206932723,,,,
20241223,1.034,1.043,1.008,1.013,849137.59,87101.217,849137.59,,,,1468042.708,,,,0.0039250844918747,0.0011155115811348,0.0056191458214798,,,,
20241224,1.016,1.019,0.983,1.007,1042500.38,103927.615,1042500.38,,,,1525033.52,,,,0.0037405403459329,0.0016405173340944,0.0042000460236769,,,,
20241225,1.001,1.005,0.987,0.993,957622.87,95378.406,957622.87,,,,1581761.256,,,,0.0024365181193868,0.0017997174911529,0.0012736012564677,,,,
20241226,0.995,1.036,0.993,1.031,1275587.89,130346.503,1275587.89,,,,1205881.488,,,,0.0044184207268576,0.0023234581382938,0.0041899251771274,,,,
20241227,1.034,1.042,1.014,1.02,995263.09,102552.759,995263.09,,,,1024022.364,,,,0.0050433481745699,0.0028674361455491,0.0043518240580417,,,,
20241230,1.028,1.028,0.998,1.008,890817.44,90154.495,890817.44,,,,1032358.334,,0.0357999999999999,,0.0045182246857455,0.0031975938535884,0.0026412616643143,,,,
20241231,1.009,1.011,0.959,0.964,2137857.0,209452.142,2137857.0,,,,1251429.658,,0.0380999999999999,,0.0005453418989371,0.0026671434626581,-0.0042436031274419,,,,
20250102,0.961,0.962,0.914,0.928,1417998.32,133485.911,1417998.32,,,,1343504.748,,0.0384999999999999,,-0.0054453251494047,0.0010446497402455,-0.0129799497793006,,,,
20250103,0.932,0.933,0.888,0.89,1313684.17,119113.031,1313684.17,,,,1351124.004,,0.0381999999999999,,-0.0131081517525284,-0.0017859105583092,-0.0226444823884384,,,,
20250106,0.891,0.907,0.87,0.882,860417.91,76441.073,860417.91,,,,1324154.968,,0.0375999999999999,,-0.0196005868204739,-0.0053488458107421,-0.0285034820194635,16.236162361623638,38.37638376383767,,
20250107,0.885,0.916,0.885,0.916,1397781.05,126095.283,1397781.05,,,,1425547.69,,0.0374999999999999,,-0.021751633248973,-0.0086294032983883,-0.0262444599011693,17.7330895795247,34.552102376599656,,
20250108,0.899,0.92,0.875,0.911,1385367.57,124341.584,1385367.57,,,,1275049.804,,0.0384,,-0.0235879045733072,-0.0116211035533721,-0.0239336020398703,17.765567765567788,33.51648351648354,,
20250109,0.909,0.921,0.902,0.91,838775.46,76628.881,838775.46,,,,1159205.232,,0.0383,,-0.0248375427382608,-0.0142643913903498,-0.021146302695822,14.313346228239862,35.396518375241804,,
20250110,0.908,0.913,0.872,0.873,1027579.21,91620.356,1027579.21,,,,1101984.24,,0.0381,,-0.0284851220100819,-0.0171085375142962,-0.0227531689915712,9.12621359223304,41.359223300970896,,
20250113,0.858,0.881,0.85,0.869,921660.18,79836.397,921660.18,0.962,,,1114232.694,1280275.887,0.0384,,-0.0313373835819065,-0.0199543067278183,-0.0227661537081763,9.197651663405118,45.20547945205482,,
20250114,0.873,0.925,0.867,0.925,1717331.25,155422.674,1717331.25,0.95835,,,1178142.734,1276022.8665,0.0412,0.0384999999999999,-0.0287477038039126,-0.0217129861430372,-0.0140694353217509,17.07317073170735,38.649155722326455,,-7.314629258517025
20250115,0.925,0.925,0.911,0.914,786272.45,72071.014,786272.45,0.95535,,,1058323.71,1277459.173,0.0374,0.03775,-0.0272686361282319,-0.0228241161400761,-0.0088890399763115,17.267552182163218,39.08918406072106,,-6.160164271047219
20250116,0.924,0.95,0.922,0.943,1387449.51,130106.666,1387449.51,0.9527,,,1168058.52,1313132.439,0.036,0.0372499999999999,-0.0234856784207528,-0.0229564285962114,-0.0010584996490827,16.346153846153836,39.61538461538462,,-5.3212851405622486
20250117,0.936,0.95,0.926,0.94,1119409.1,105061.22,1119409.1,0.94855,,,1186424.498,1211353.5575,0.0339,0.0360499999999999,-0.0204934958474203,-0.0224638420464532,0.0039406923980658,15.310077519379837,39.92248062015505,,-8.113391984359719
20250120,0.95,0.966,0.944,0.955,1077012.11,102959.101,1077012.11,0.9446,,,1217494.884,1169976.2275,0.0328,0.0351999999999999,-0.0167190679526734,-0.0213148872276972,0.0091916385500477,18.554687499999993,37.109375000000014,,-7.640232108317225
20250121,0.972,0.981,0.958,0.978,1438432.42,139737.961,1438432.42,0.94285,,,1161715.118,1199440.969,0.032,0.0347499999999999,-0.0117366065769866,-0.0193992310975551,0.0153252490411371,22.633744855967073,31.06995884773663,,-3.455083909180645
20250122,0.976,1.004,0.976,0.993,1528879.0,151851.766,1528879.0,0.94215,,,1310236.4279999998,1223759.9,0.0303,0.03435,-0.0065026370481495,-0.016819912287674,0.0206345504790489,28.663793103448263,22.844827586206907,,-1.3902681231380276
20250123,1.008,1.03,0.983,0.984,1533284.26,154127.745,1533284.26,0.9417,,,1339403.378,1252542.9695,0.0331,0.0357,-0.0030457932628993,-0.0140650884827191,0.0220385904396395,34.12017167381973,17.167381974248936,38.06036864164308,-0.9063444108761364
20250124,0.982,1.023,0.976,1.023,1393998.33,140540.224,1393998.33,0.9413,,,1394321.2240000002,1258463.4915,0.0336999999999999,0.0359,0.0028083811359479,-0.0106903945589856,0.0269975513898672,33.403361344537814,14.49579831932774,37.98416461807063,-0.7759456838021372
20250127,1.038,1.048,0.972,0.974,2346308.88,232571.074,2346308.88,0.939,,,1648180.5780000002,1326015.781,0.0382,0.0383,0.0034541487574272,-0.0078614858957031,0.0226312693062606,33.783783783783804,13.32046332046333,38.78950681685545,-4.509803921568634
20250205,0.991,0.994,0.964,0.981,1531195.31,149269.923,1531195.31,0.93765,,,1666733.156,1358034.6745,0.0354,0.0383,0.0044791330904103,-0.0053933620984804,0.0197449903777815,34.79125248508949,13.320079522862832,39.78335063537459,-2.67857142857143
20250206,0.975,1.021,0.971,1.014,1861377.08,186121.847,1861377.08,0.94015,,,1733232.772,1344210.6785,0.0389999999999999,0.0382,0.0078636178744807,-0.0027419661038881,0.0212111679567378,37.64044943820225,12.54681647940076,40.32531839524118,5.186721991701249
20250207,1.017,1.071,1.015,1.048,2271669.37,237883.031,2271669.37,0.94615,,,1880909.794,1386894.231,0.0410999999999999,0.03855,0.0131379165756815,0.0004340104320257,0.0254078122873115,45.63636363636366,6.727272727272735,41.07241851734131,12.93103448275863
20250210,1.061,1.08,1.057,1.08,1453396.28,155344.524,1453396.28,0.95565,,,1892789.384,1393879.8365,0.0419,0.0379,0.0196731885885802,0.0042818460633366,0.0307826850504871,47.18693284936484,2.722323049001817,42.70840842671253,21.34831460674158
20250211,1.074,1.085,1.056,1.061,1518813.39,162270.584,1518813.39,0.9646,,,1727290.2859999998,1426799.6105,0.0421999999999999,0.0375,0.0230535505520925,0.0080361869610878,0.0300347271820094,42.33716475095789,2.8735632183908084,46.17752248904693,20.29478458049885
20250212,1.051,1.086,1.051,1.086,1234658.62,132626.932,1234658.62,0.9731,,,1667982.948,1418643.489,0.0431,0.03755,0.0274335657593789,0.011915662720746,0.0310358060772657,40.69981583793741,3.6832412523020506,49.36909041090531,18.558951965065496
20250213,1.086,1.089,1.051,1.055,1441334.69,153594.109,1441334.69,0.9803,,,1583974.47,1421441.845,0.0441,0.0372,0.0280796339045819,0.0151484569575132,0.0258623538941373,36.51376146788992,3.669724770642225,52.23726211116286,15.806805708013162
20250214,1.052,1.082,1.047,1.079,1198710.11,128141.742,1198710.11,0.98875,,,1369382.618,1439438.5775,0.0429,0.038,0.0301803467373811,0.0181548349134868,0.0240510236477886,35.79136690647481,4.316546762589949,54.659685883598435,18.571428571428573
20250217,1.096,1.117,1.088,1.105,1564200.28,172602.567,1564200.28,1.00035,,,1391543.418,1466269.631,0.042,0.03785,0.0335563428686354,0.0212351365045165,0.0246424127282377,38.38028169014082,4.225352112676077,58.004825592374495,26.5750286368843
20250218,1.102,1.105,1.056,1.06,1806256.13,194639.372,1806256.13,1.0099,,,1449031.966,1510499.4285,0.0393,0.03875,0.032229202027098,0.0234339496090328,0.0175905048361303,34.34856175972926,9.47546531302879,60.936821627818794,21.97928653624857
