trade_date,open,high,low,close,volume,amount,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d
20221026,1.01,1.016,0.988,1.015,9826458.71,986523.873,9826458.71,,,,,,,,0.0,0.0,0.0,,,,
20221027,1.012,1.038,1.002,1.006,1799436.61,183596.968,1799436.61,,,,,,,,-0.0007179487179487,-0.0001435897435897,-0.0011487179487179,,,,
20221028,1.001,1.001,0.945,0.955,1049881.32,101970.564,1049881.32,,,,,,,,-0.0053406384688436,-0.0011829994886405,-0.0083152779604063,,,,
20221031,0.95,0.971,0.94,0.962,804360.19,77144.843,804360.19,,,,,,,,-0.0083431374079341,-0.0026150270724992,-0.0114562206708697,,,,
20221101,0.962,0.99,0.961,0.99,727804.13,71145.974,727804.13,,,,2841588.1920000003,,,,-0.0083668258940257,-0.0037653868368045,-0.0092028781144423,,,,
20221102,0.991,1.012,0.982,1.006,870110.25,87077.192,870110.25,,,,1050318.5,,,,-0.0070136835296354,-0.0044150461753707,-0.0051972747085295,,,,
20221103,1.001,1.015,0.994,1.01,567497.39,57259.821,567497.39,,,,803930.656,,,,-0.0055545129190204,-0.0046429395241006,-0.0018231467898395,,,,
20221104,1.01,1.037,1.007,1.036,659419.6,67704.899,659419.6,,,,725838.312,,,,-0.0022739147150456,-0.0041691345622896,0.0037904396944879,,,,
20221107,1.036,1.041,1.02,1.025,433492.82,44671.619,433492.82,,,,651664.838,,,,-0.0005552247864037,-0.0034463526071124,0.0057822556414174,,,,
20221108,1.025,1.029,1.007,1.012,509564.14,51585.67,509564.14,,,,608016.8400000001,,,,-0.000239382537053,-0.0028049585931006,0.0051311521120951,,,,
20221109,1.011,1.023,1.007,1.014,299490.85,30415.124,299490.85,,,,493892.9600000001,,0.0297,,0.0001703443823761,-0.0022098979980052,0.0047604847607628,,,,
20221110,1.007,1.011,0.987,0.99,434536.81,43316.314,434536.81,,,,467300.8439999999,,0.0288,,-0.0014251156594655,-0.0020529415302973,0.0012556517416634,,,,
20221111,1.03,1.03,1.001,1.005,546732.54,55386.771,546732.54,,,,444763.432,,0.0267,,-0.0014622981348748,-0.0019348128512128,0.0009450294326759,,,,
