trade_date,open,high,low,close,volume,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d,amount
20210120,1.017,1.021,1.007,1.018,1164144.0,1164144.0,,,,,,,,0.0,0.0,0.0,,,,,
20210121,1.019,1.045,1.019,1.042,541478.0,541478.0,,,,,,,,0.0019145299145297,0.0003829059829059,0.0030632478632476,,,,,
20210122,1.04,1.045,1.022,1.033,337532.0,337532.0,,,,,,,,0.0026747510166311,0.0008412749896509,0.0036669520539603,,,,,
20210125,1.028,1.03,1.011,1.017,444981.0,444981.0,,,,,,,,0.0019635310707946,0.0010657262058797,0.0017956097298297,,,,,
20210126,1.017,1.017,0.994,0.998,408712.0,408712.0,,,,579369.4,,,,-0.0001317384716219,0.0008262332703793,-0.0019159434840026,,,,,
20210127,0.999,1.003,0.987,0.998,214237.0,214237.0,,,,389388.0,,,,-0.0017718301248359,0.0003066205913363,-0.0041569014323445,,,,,
20210128,0.984,0.992,0.961,0.964,433728.0,433728.0,,,,367838.0,,,,-0.0057488611337659,-0.0009044757536841,-0.0096887707601636,,,,,
20210129,0.97,0.978,0.94,0.955,318525.0,318525.0,,,,364036.6,,,,-0.0095172032503493,-0.0026270212530171,-0.0137803639946643,,,,,
20210201,0.959,0.973,0.956,0.969,254615.0,254615.0,,,,325963.4,,,,-0.0112443407690359,-0.0043504851562209,-0.0137877112256299,,,,,
20210202,0.975,0.992,0.97,0.991,210388.0,210388.0,,,,286298.6,,,,-0.010714384799129,-0.0056232650848025,-0.0101822394286529,,,,,
20210203,0.991,0.991,0.959,0.96,496246.0,496246.0,,,,342700.4,,0.0258999999999999,,-0.0126500103520608,-0.0070286141382541,-0.0112427924276132,,,,,
20210204,0.96,0.96,0.923,0.942,473370.0,473370.0,,,,350628.8,,0.0268999999999999,,-0.0154582638724255,-0.0087145440850884,-0.0134874395746741,,,,,
20210205,0.942,0.946,0.923,0.924,428251.0,428251.0,,,,372574.0,,0.0268999999999999,,-0.0189181973841365,-0.010755274744898,-0.0163258452784769,,,,,
20210208,0.926,0.939,0.92,0.932,146511.0,146511.0,,,,350953.2,,0.0265999999999999,,-0.0207752028718403,-0.0127592603702865,-0.0160318850031075,,,,,
20210209,0.93,0.964,0.93,0.963,374655.0,374655.0,,,,383806.6,,0.0276999999999999,,-0.0195204327796213,-0.0141114948521534,-0.0108178758549356,18.27956989247316,35.483870967741986,,,
20210210,0.963,0.99,0.957,0.988,425976.0,425976.0,,,,369752.6,,0.0293999999999999,,-0.0163205937298245,-0.0145533146276877,-0.0035345582042736,18.518518518518555,34.92063492063496,,,
20210218,0.999,1.01,0.99,0.992,464630.0,464630.0,,,,368004.6,,0.0278999999999999,,-0.0133085193320654,-0.0143043555685632,0.0019916724729956,23.87267904509288,35.01326259946953,,,
20210219,0.989,0.996,0.977,0.995,167019.0,167019.0,,,,315758.2,,0.0259999999999999,,-0.0105576517061053,-0.0135550147960716,0.0059947261799326,24.064171122994697,35.8288770053476,,,
20210222,0.995,1.011,0.979,0.98,292586.0,292586.0,,,,344973.2,,0.0273999999999999,,-0.0094786796150413,-0.0127397477598656,0.0065221362896485,27.41514360313318,30.54830287206269,,,
20210223,0.98,0.99,0.973,0.981,100602.0,100602.0,0.9821,,,290162.6,384909.3,0.0267999999999999,,-0.0084455398899622,-0.0118809061858849,0.0068707325918454,27.34375000000001,30.20833333333335,,,
20210224,0.98,0.989,0.955,0.966,198107.0,198107.0,0.9795,,,244588.8,336607.45,0.0269999999999999,0.0264499999999999,-0.0087364356621656,-0.011252012081141,0.0050311528379508,27.559055118110248,28.346456692913403,,-5.108055009823187,
20210225,0.959,0.972,0.948,0.95,107987.0,107987.0,0.9749,,,173260.2,314932.9,0.0256999999999999,0.0262999999999999,-0.0101411382111893,-0.0110298373071507,0.0017773981919227,28.61035422343326,25.61307901907358,,-8.829174664107498,
20210226,0.937,0.944,0.93,0.939,83830.0,83830.0,0.9702,,,156622.4,302247.8,0.0253999999999999,0.0261499999999999,-0.0120036129922057,-0.0112245924441617,-0.001558041096088,28.45528455284555,30.35230352303523,,-9.099709583736692,
20210301,0.941,0.956,0.941,0.956,97051.0,97051.0,0.96715,,,117515.4,284851.3,0.0251999999999999,0.0258999999999999,-0.0119698982138886,-0.0113736535981071,-0.0011924892315629,26.997245179063377,30.85399449035812,,-5.998033431661742,
20210302,0.958,0.96,0.937,0.943,67117.0,67117.0,0.9644,,,110818.4,267771.55,0.0240999999999999,0.0258999999999999,-0.0128441114421142,-0.0116677451669085,-0.0023527325504114,28.81355932203393,28.53107344632769,,-5.511022044088176,
20210303,0.945,0.953,0.938,0.953,69724.0,69724.0,0.96215,,,85141.8,260545.9,0.0222999999999999,0.0258499999999999,-0.0125849438979365,-0.0118511849131141,-0.0014675179696447,30.722891566265087,19.578313253012052,,-4.509018036072144,
20210304,0.942,0.947,0.923,0.925,139790.0,139790.0,0.9602,,,91502.4,245849.0,0.0230999999999999,0.0254999999999999,-0.0144720924727494,-0.0123753664250412,-0.0041934520954165,30.088495575221263,23.598820058997035,,-4.045643153526967,
20210305,0.925,0.937,0.913,0.932,114696.0,114696.0,0.95905,,,97675.6,235657.55,0.0235999999999999,0.0247999999999999,-0.0152272989917882,-0.0129457529383906,-0.0045630921067951,29.65116279069769,25.29069767441858,12.224207702699688,-2.408376963350778,
