trade_date,open,high,low,close,volume,amount,ts_code,pre_close,change,pct_chg,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d
20231030,1.02,1.024,1.002,1.017,3715833.0,376686.748,560280.SH,1.025,-0.008,-0.7805,3715833.0,,,,,,,,0.0,0.0,0.0,,,,
20231031,1.017,1.017,0.993,1.001,567830.0,56799.117,,,,,567830.0,,,,,,,,-0.0012763532763533,-0.0002552706552706,-0.0020421652421653,,,,
20231101,0.998,0.999,0.991,0.996,319227.0,31768.976,560280.SH,1.001,-0.005,-0.4995,319227.0,,,,,,,,-0.0026606602219139,-0.0007363485685993,-0.0038486233066291,,,,
20231102,0.996,1.005,0.993,0.994,185379.0,18543.458,560280.SH,0.996,-0.002,-0.2008,185379.0,,,,,,,,-0.0038744544359923,-0.0013639697420779,-0.0050209693878288,,,,
20231103,0.998,1.013,0.998,1.007,340632.0,34286.751,560280.SH,0.994,0.013,1.3078,340632.0,,,,1025780.2,,,,-0.0037442424449027,-0.0018400242826428,-0.0038084363245197,,,,
20231106,0.997,1.016,0.997,1.016,98164.0,9928.084,,,,,98164.0,,,,302246.4,,,,-0.0028816063556456,-0.0020483406972434,-0.0016665313168043,,,,
20231107,1.016,1.018,1.011,1.016,75446.0,7653.055,,,,,75446.0,,,,203769.6,,,,-0.0021729130508927,-0.0020732551679732,-0.0001993157658388,,,,
20231108,1.013,1.013,1.007,1.011,31794.0,3211.02,,,,,31794.0,,,,146283.0,,,,-0.0019917668656772,-0.002056957507514,0.0001303812836736,,,,
20231109,1.009,1.012,1.007,1.008,25497.0,2572.668,,,,,25497.0,,,,114306.6,,,,-0.0020664612577088,-0.002058858257553,-1.5206000311568726e-05,,,,
20231110,1.008,1.008,0.997,1.0,13190.0,1317.178,,,,,13190.0,,,,48818.2,,,,-0.0027396097271612,-0.0021950085514746,-0.0010892023513731,,,,
20231113,0.999,1.002,0.997,1.002,30313.0,3030.671,,,,,30313.0,,,,35248.0,,0.0121,,-0.0030762404684454,-0.0023712549348688,-0.0014099710671532,,,,
20231114,1.002,1.007,1.002,1.005,35682.0,3581.247,,,,,35682.0,,,,27295.2,,0.0101999999999999,,-0.0030656093914636,-0.0025101258261877,-0.0011109671305516,,,,
20231115,1.008,1.018,1.008,1.018,30408.0,3083.701,560280.SH,1.005,0.013,1.2935,30408.0,,,,27018.0,,0.0105,,-0.0019853074434983,-0.0024051621496498,0.0008397094123031,,,,
20231116,1.014,1.014,1.009,1.009,4989.0,504.831,560280.SH,1.018,-0.009,-0.8841,4989.0,,,,22916.4,,0.0102,,-0.0018342411601237,-0.0022909779517446,0.0009134735832418,,,,
20231117,1.008,1.014,1.007,1.014,13147.0,1329.922,560280.SH,1.009,0.005,0.4955,13147.0,,,,22907.8,,0.009,,-0.0012961209533757,-0.0020920065520708,0.0015917711973903,22.580645161290303,17.41935483870959,,
20231120,1.008,1.022,1.005,1.021,16448.0,1675.363,,,,,16448.0,,,,20134.8,,0.0088,,-0.0003013416352299,-0.0017338735687027,0.0028650638669454,29.054054054053992,12.16216216216206,,
20231121,1.02,1.033,1.016,1.017,44172.0,4553.103,560280.SH,1.021,-0.004,-0.3918,44172.0,,,,21832.8,,0.0098,,0.0001623896440605,-0.00135462092615,0.0030340211404212,34.83870967741921,10.322580645161198,,
20231122,1.013,1.013,1.003,1.004,10572.0,1064.513,560280.SH,1.017,-0.013,-1.2783,10572.0,,,,17865.6,,0.0103,,-0.0005131757598462,-0.0011863318928892,0.0013463122660861,30.573248407643224,18.47133757961778,,
20231123,1.005,1.02,1.004,1.018,24372.0,2465.273,560280.SH,1.004,0.014,1.3944,24372.0,,,,21742.2,,0.0114,,8.019237965517512e-05,-0.0009330270383803,0.0020264388360711,30.51948051948048,18.831168831168764,,
20231124,1.018,1.018,1.008,1.009,21671.0,2188.231,560280.SH,1.018,-0.009,-0.8841,21671.0,1.00915,,,23447.0,280238.3,0.0113,,-0.0001737806435806,-0.0007811777594204,0.0012147942316795,30.34482758620678,19.99999999999992,,
20231127,1.008,1.011,1.002,1.011,27555.0,2771.416,,,,,27555.0,1.00885,,,25668.4,95824.4,0.0117,0.0119,-0.0002112377912031,-0.0006671897657769,0.0009119039491476,28.571428571428505,23.809523809523757,,-0.5899705014749235
20231128,1.001,1.016,1.001,1.016,11536.0,1165.259,,,,,11536.0,1.0096,,,19141.2,68009.7,0.0127,0.01145,0.0001606831078528,-0.000501615191051,0.0013245965978077,30.718954248366018,20.26143790849669,,1.4985014985015033
20231129,1.021,1.021,1.005,1.007,7435.0,751.999,,,,,7435.0,1.01015,,,18513.8,52420.1,0.013,0.01175,-0.0002677057388453,-0.0004548333006098,0.000374255123529,31.70731707317069,18.90243902439022,,1.1044176706827225
