trade_date,open,high,low,close,volume,amount,ts_code,pre_close,change,pct_chg,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d
20160914,0.98,0.985,0.977,0.98,1177240.91,115431.402,512000.SH,0.989,-0.009,-0.91,1177240.91,,,,,,,,0.0,0.0,0.0,,,,
20160919,0.4895,0.4925,0.4895,0.491,234915.31,23072.514,,,,,234915.31,,,,,,,,-0.0390085470085469,-0.0078017094017093,-0.0624136752136751,,,,
20160920,0.982,0.983,0.978,0.98,172012.35,16855.033,512000.SH,0.982,-0.002,-0.2037,172012.35,,,,,,,,-0.030117710083522,-0.0122649095380719,-0.0357056010909002,,,,
20160921,0.979,0.994,0.979,0.989,520397.81,51417.21,512000.SH,0.98,0.009,0.9184,520397.81,,,,,,,,-0.0220907841726503,-0.0142300844649876,-0.0157213994153254,,,,
20160922,0.998,0.998,0.988,0.989,264470.76,26239.881,512000.SH,0.989,0.0,0.0,264470.76,,,,473807.428,,,,-0.0155501352775496,-0.0144940946275,-0.0021120813000993,,,,
20160923,0.494,0.4955,0.491,0.4915,104207.35,10280.193,,,,,104207.35,,,,259200.716,,,,-0.0499350954277979,-0.0215822947875596,-0.0567056012804766,,,,
20160926,0.4915,0.4915,0.48,0.481,66950.17,6523.214,,,,,66950.17,,,,225607.688,,,,-0.077143424942348,-0.0326945208185172,-0.0888978082476615,,,,
20160927,0.482,0.488,0.482,0.488,75085.63,7298.807,,,,,75085.63,,,,206222.344,,,,-0.0970229603176525,-0.0455602087183443,-0.1029255031986164,,,,
20160928,0.488,0.488,0.485,0.485,31315.05,3046.418,,,,,31315.05,,,,108405.792,,,,-0.1117317363488153,-0.0587945142444385,-0.1058744442087536,,,,
20160929,0.4855,0.4965,0.4855,0.4915,160640.1,15833.643,,,,,160640.1,,,,87639.66,,,,-0.1214638915145547,-0.0713283896984618,-0.1002710036321858,,,,
20160930,0.4895,0.493,0.488,0.4905,42554.74,4181.052,,,,,42554.74,,,,75309.138,,0.15435,,-0.1277843675958084,-0.0826195852779311,-0.0903295646357546,,,,
20161010,0.495,0.4995,0.493,0.4985,244512.18,24309.785,,,,,244512.18,,,,110821.54,,0.1062,,-0.1306418987979781,-0.0922240479819405,-0.0768357016320752,,,,
20161011,0.998,1.002,0.994,0.999,326031.68,32563.116,512000.SH,0.997,0.002,0.2006,326031.68,,,,161010.75,,0.10735,,-0.0914659828019802,-0.0920724349459485,0.0012129042879364,,,,
20161012,0.995,1.0,0.994,0.997,41911.84,4178.756,512000.SH,0.999,-0.002,-0.2002,41911.84,,,,163130.108,,0.10645,,-0.0598897981008198,-0.0856359075769227,0.0514922189522058,,,,
20161013,0.997,1.002,0.994,0.999,177273.88,17724.293,512000.SH,0.997,0.002,0.2006,177273.88,,,,166456.864,,0.10625,,-0.0343085730716962,-0.0753704406758774,0.0821237352083625,49.516908212560374,48.09178743961351,,
