trade_date,open,high,low,close,volume
2021/3/31,28802.53,28802.53,28332.78,28378.35,15449686272
2021/3/4,29525.48,29597.16,29102.1,29236.79,20064981760
2021/3/5,28667.14,29397.27,28513.13,29098.29,22964581632
2021/3/8,29362.59,29386.33,28422.27,28540.83,29392958720
2021/3/9,28665.26,29047.13,28326.13,28773.23,23880105472
2021/4/1,28594.55,28938.74,28511.65,28938.74,13061007360
2021/4/12,28791.97,28791.97,28274.27,28453.28,10993515008
2021/4/13,28557.84,28877.15,28452.12,28497.25,11011852800
2021/4/14,28796.55,28979.35,28685.06,28900.83,10596785664
2021/4/15,28872.82,28884.57,28530.99,28793.14,10522259712
2021/4/16,28827.17,29079.18,28711.11,28969.71,11630304256
2021/4/19,28960.13,29319.76,28806.76,29106.15,12457016320
2021/4/20,28962.8,29220.19,28885.55,29135.73,12283733760
2021/4/21,28702.27,28778.36,28506.76,28621.92,10924991744
2021/4/22,28716.98,28848.02,28597.0,28755.34,12450795008
2021/4/23,28798.45,29078.75,28748.57,29078.75,11561215232
2021/4/26,29106.45,29238.99,28908.65,28952.83,12438884352
2021/4/27,28895.38,29045.11,28793.22,28941.54,11675376640
2021/4/28,28991.94,29071.34,28887.33,29071.34,12275418880
2021/4/29,29268.21,29405.12,29162.87,29303.26,10215293440
2021/4/30,29143.43,29154.75,28701.69,28724.88,11099003648
2021/4/7,29101.4,29101.4,28598.86,28674.8,13492518912
2021/4/8,28604.12,29054.82,28587.11,29008.07,12249100544
2021/4/9,29152.44,29152.44,28604.55,28698.8,10637327616
2021/5/10,28776.99,28842.11,28453.14,28595.66,14594160384
2021/5/11,28286.56,28286.56,27910.71,28013.81,15118752256
2021/5/12,28073.92,28231.04,27897.47,28231.04,12467682816
2021/5/13,27920.01,28060.93,27718.67,27718.67,12398928640
2021/5/14,27872.69,28064.01,27715.88,28027.57,11721409792
2021/5/17,28130.51,28268.39,28074.14,28194.09,11541391872
2021/5/18,28438.03,28617.34,28438.03,28593.81,11767549184
2021/5/20,28413.49,28508.24,28293.23,28450.29,13966159104
2021/5/21,28584.34,28584.34,28286.92,28458.44,12360969984
2021/5/24,28417.99,28444.36,28195.52,28412.26,14254093312
2021/5/25,28461.5,28929.24,28461.5,28910.86,16699155968
2021/5/26,29056.28,29261.86,29027.95,29166.01,14422491392
2021/5/27,28998.39,29157.95,28950.72,29113.2,21384468480
2021/5/28,29219.46,29336.13,29033.72,29124.41,15182350336
2021/5/3,28659.91,28684.83,28256.03,28357.54,9164099584
2021/5/31,29225.46,29225.46,28909.52,29151.8,14818357760
2021/5/4,28438.15,28577.52,28321.34,28557.14,10040986112
2021/5/5,28427.67,28677.36,28325.96,28417.98,10786106368
2021/5/6,28647.97,28753.97,28384.12,28637.46,14061858560
2021/5/7,28721.13,28884.03,28530.71,28610.65,13760934912
2021/6/1,29159.06,29480.16,29036.45,29468.0,12628670720
2021/6/10,28792.02,28954.4,28664.94,28738.88,12961242112
2021/6/11,28864.9,28965.15,28743.82,28842.13,12532009216
2021/6/15,28946.44,28946.44,28453.48,28638.53,12333706496
2021/6/16,28609.37,28648.64,28403.64,28436.84,11663439360
2021/6/17,28240.88,28558.59,28216.09,28558.59,12299954176
2021/6/18,28586.04,28830.85,28532.08,28801.27,16204925952
2021/6/2,29414.64,29490.61,29208.73,29297.62,13602831360
2021/6/21,28501.64,28590.22,28314.93,28489.0,12777904640
2021/6/22,28575.16,28579.0,28299.66,28309.76,11044864256
2021/6/23,28468.24,28893.79,28406.61,28817.07,12215604480
2021/6/24,28865.46,28993.37,28782.34,28882.46,11402982400
2021/6/25,29002.67,29305.17,28971.6,29288.22,13726146560
2021/6/28,29366.49,29394.69,29209.43,29268.3,9048356352
2021/6/29,29291.89,29291.89,28924.61,28994.1,12766305792
2021/6/3,29365.32,29377.9,28902.67,28966.03,14519330816
2021/6/30,29107.9,29146.28,28827.7,28827.95,13599033344
2021/6/4,28837.95,29023.18,28737.97,28918.1,14693841664
2021/6/7,28985.6,29003.99,28615.61,28787.28,12772768256
2021/6/8,28900.52,28979.2,28638.31,28781.38,11880600576
2021/6/9,28771.14,28859.58,28687.69,28742.63,12169541120
2021/7/12,27672.7,27741.19,27420.35,27515.24,11044906240
2021/7/13,27694.03,28052.32,27612.69,27963.41,11651126016
2021/7/14,27965.39,27965.39,27708.71,27787.46,11456168960
2021/7/15,27801.4,28181.21,27741.09,27996.27,11877637120
2021/7/16,27972.56,28218.53,27878.53,28004.68,12210139392
2021/7/19,27786.54,27786.54,27397.29,27489.78,11758551808
2021/7/2,28859.02,28859.02,28231.73,28310.42,14179832064
2021/7/20,27395.83,27532.86,27121.49,27259.25,13122646784
2021/7/21,27339.22,27371.5,26971.03,27224.58,11704749312
2021/7/22,27464.28,27759.71,27455.43,27723.84,12974901504
2021/7/23,27740.95,27740.95,27222.04,27321.98,12813889024
2021/7/26,26825.73,26878.75,26177.4,26192.32,17148037376
2021/7/27,26011.51,26323.61,24748.84,25086.43,21818263040
2021/7/28,25356.74,25520.75,24848.43,25473.88,16240673792
2021/7/29,26221.36,26335.36,25857.42,26315.32,14777283584
2021/7/30,26042.84,26151.0,25636.89,25961.03,13159139584
2021/7/5,28098.91,28338.79,28042.71,28143.5,10826851072
2021/7/6,28136.63,28151.35,27904.53,28072.86,11730379776
2021/7/7,27777.81,27969.41,27703.41,27960.62,11531670784
2021/7/8,27881.5,27921.06,27110.62,27153.13,13867464960
2021/7/9,27131.57,27450.79,26861.87,27344.54,12956159232
2021/8/10,26456.61,26610.95,26138.87,26605.62,10987241216
2021/8/11,26491.74,26822.47,26454.45,26660.16,12657581568
2021/8/12,26623.77,26713.24,26385.45,26517.82,10681575424
2021/8/13,26296.19,26521.95,26200.24,26391.62,11029198592
2021/8/16,26365.19,26449.71,26046.9,26181.46,10454632960
2021/8/17,26137.9,26258.79,25615.38,25745.87,11638559488
2021/8/18,25800.03,26025.14,25708.95,25867.01,9215895552
2021/8/19,25787.84,25832.92,25183.67,25316.33,11017848832
2021/8/2,26054.81,26300.55,25743.09,26235.8,13582492160
2021/8/20,25241.32,25244.75,24581.6,24849.72,14229899264
2021/8/23,25169.45,25458.33,25036.99,25109.59,11613352960
2021/8/24,25428.68,25727.92,25361.75,25727.92,10840148736
2021/8/25,25930.05,25982.64,25548.47,25693.95,11209833728
2021/8/26,25673.78,25706.62,25255.83,25415.69,11260419328
2021/8/27,25337.55,25641.33,25304.62,25407.89,9950701824
2021/8/3,26289.06,26289.06,25774.62,26194.82,12136072960
2021/8/30,25406.49,25583.59,25219.8,25539.54,11823361792
2021/8/31,25524.23,25878.99,25110.72,25878.99,14742173952
2021/8/4,26161.83,26650.82,26009.83,26426.55,12297927936
2021/8/5,26390.01,26569.37,26126.37,26204.69,11610440704
