trade_date,open,high,low,close,volume,amount,ts_code,pre_close,change,pct_chg,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d
20130325,99.5,99.5,98.814,99.408,46249.2,459291.069,511010.SH,99.841,-0.433,-0.4337,46249.2,,,,,,,,0.0,0.0,0.0,,,,
20130326,99.4,99.7,99.4,99.649,29732.48,295845.576,511010.SH,99.408,0.241,0.2424,29732.48,,,,,,,,0.01922507122507966,0.003845014245015932,0.030760113960127455,,,,
20130327,99.648,99.697,99.591,99.625,37400.89,372601.398,511010.SH,99.649,-0.024,-0.0241,37400.89,,,,,,,,0.03215382992021887,0.00950677738005652,0.04529410508032469,,,,
20130328,99.63,99.74,99.604,99.731,47058.0,469093.468,511010.SH,99.625,0.106,0.1064,47058.0,,,,,,,,0.05037261431189677,0.017679944766424573,0.06538533909094439,,,,
20130329,99.73,99.836,99.72,99.833,23638.7,235947.972,511010.SH,99.731,0.102,0.1023,23638.7,,,,36815.854,,,,0.07220929593715653,0.028585815000570964,0.08724696187317113,,,,
20130401,99.833,99.95,99.833,99.945,33907.27,338692.908,511010.SH,99.833,0.112,0.1122,33907.27,,,,34347.46800000001,,,,0.0974293821571024,0.04235452843187725,0.11014970745045029,,,,
20130402,99.952,100.142,99.952,100.122,60449.74,604859.995,511010.SH,99.945,0.177,0.1771,60449.74,,,,40490.92,,,,0.13019806073788232,0.05992323489307827,0.1405496516896081,,,,
20130403,97.12112403100777,97.31492248062015,97.12015503875968,97.2529069767442,52188.57,523558.022,,,,,52188.57,,,,43448.456000000006,,,,-0.07448572924616315,0.03304144206522999,-0.21505434262278628,,,,
20130408,97.2577519379845,97.28682170542636,97.00581395348836,97.18120155038758,49017.28,491685.22,,,,,49017.28,,,,43840.312,,,,-0.23972177274077922,-0.021511200895971853,-0.4364211436896147,,,,
20130409,97.18992248062015,97.20445736434108,97.12112403100777,97.1579457364341,52027.28,521697.217,,,,,52027.28,,,,49518.028000000006,,,,-0.3683035039680078,-0.09086966151037905,-0.5548676849152575,,,,
20130410,97.17054263565892,97.19186046511628,97.16279069767442,97.18604651162792,55964.4,561280.378,,,,,55964.4,,,,53929.45399999999,,0.4372100775193829,,-0.4626053283731011,-0.16521679488292346,-0.5947770669803553,,,,
20130411,100.3,100.31,100.291,100.302,62331.05,625179.463,511010.SH,100.296,0.006,0.006,62331.05,,,,54305.716,,0.7196054263565912,,-0.282650578297563,-0.18870355156585136,-0.1878940534634233,,,,
20130412,100.304,100.384,100.304,100.352,32170.67,322805.953,511010.SH,100.302,0.05,0.0498,32170.67,,,,50302.136,,0.7172054263565897,,-0.13445069629197803,-0.1778529805110767,0.08680456843819734,,,,
20130415,100.39,100.468,100.39,100.425,38669.96,388437.79,511010.SH,100.352,0.073,0.0727,38669.96,,,,48232.672000000006,,0.7152054263565901,,-0.010984114136121548,-0.14447920723608568,0.26699018619992826,,,,
20130416,100.5,100.596,100.47,100.516,58424.87,587523.286,511010.SH,100.425,0.091,0.0906,58424.87,,,,49512.19,,0.7207054263565909,,0.09313339740063498,-0.09695668630874155,0.38018016741875305,51.48266495300564,37.45919542042525,,
20130417,97.4515503875969,97.55813953488372,97.42538759689924,97.4815891472868,69382.38,698103.713,,,,,69382.38,,,,52195.786,,1.0180666666666667,,-0.06841566753658412,-0.09124848255431006,0.045665630035451876,36.12293491616713,56.22171410778986,,
20130418,100.601,100.615,100.102,100.359,51255.48,514723.921,511010.SH,100.601,-0.242,-0.2406,51255.48,,,,49980.672000000006,,1.3117077519379863,,0.03533126604854431,-0.06593253283373919,0.202527597764567,50.47110191562359,43.782536795011225,,
20130419,97.10852713178294,97.18023255813954,96.89922480620154,97.00581395348836,47575.75,476159.154,,,,,47575.75,,,,53061.688,,1.3575007751937989,,-0.15127878418111607,-0.08300178310321457,-0.136554002155803,40.354321377064544,54.05805411771995,,
20130422,100.065,100.09,99.831,99.859,45338.29,453540.667,511010.SH,100.11,-0.251,-0.2507,45338.29,,,,54395.35400000001,,1.637818604651163,,-0.06815467983382462,-0.08003236244933658,0.023755365231023923,48.44429869837538,46.025310659039505,,
20130423,96.70542635658914,97.04941860465117,96.70542635658914,97.03972868217052,50416.47,504540.233,,,,,50416.47,99.02156162790698,,,52793.674,47159.936499999996,1.9448426356589166,,-0.2271514020115717,-0.10945617036178361,-0.23539046329957616,41.55626852367753,53.53448107426715,,
20130424,100.14,100.298,100.0,100.154,44135.36,442112.092,511010.SH,100.145,0.009,0.009,44135.36,99.05886162790698,,,47744.270000000004,47054.2445,2.2672782945736474,1.352244186046515,-0.10070096352612268,-0.10770512899465143,0.0140083309370575,48.40028043034987,47.24888669269977,,0.7504426203122527
20130425,100.154,100.298,100.105,100.289,70460.0,706311.421,511010.SH,100.154,0.135,0.1348,70460.0,99.09086162790697,,,51585.174,49090.6205,1.9741829457364388,1.3468941860465151,0.010286712934288289,-0.08410676060886349,0.18878694708630356,54.24401569978073,40.78097712775574,,0.6422543126373581
20130426,100.291,100.5,100.291,100.357,62735.39,629794.357,511010.SH,100.289,0.068,0.0678,62735.39,99.12746162790697,,,54617.102,50357.3455,1.9870829457364394,1.3521441860465147,0.10255014363193027,-0.04677537976070474,0.29865104678527,55.278656965337845,40.41109213477133,,0.7347553324968725
20130502,97.28682170542636,97.43992248062015,97.28682170542636,97.38081395348836,57509.16,577941.921,,,,,57509.16,99.0099523255814,,,57051.276,50879.9035,2.282500775193803,1.4988531007751966,-0.06374890604044481,-0.05017008501665276,-0.0271576420475841,48.972191963303516,47.27549815194405,,-2.3565250990280284
20130503,97.4718992248062,97.4874031007752,97.36434108527132,97.38662790697674,60391.68,607008.559,,,,,60391.68,98.88763372093022,,,59046.31799999999,52717.552500000005,2.27770697674419,1.4992062015503904,-0.19284990985258332,-0.07870604998383889,-0.22828771973748888,48.98674558468943,47.11506881572497,,-2.450464368518679
20130506,97.38372093023256,97.4467054263566,97.29651162790697,97.36531007751935,53761.23,540292.222,,,,,53761.23,98.75864922480619,,,60971.492000000006,53710.2505,1.9836651162790773,1.500865891472872,-0.2935002677834575,-0.12166489354376261,-0.3436707484793898,41.85516658026127,53.42045069608914,,-2.5811095327236355
20130507,100.508,100.55,100.452,100.53,57144.64,574250.164,511010.SH,100.481,0.049,0.0488,57144.64,98.77904922480619,,,58308.42,53544.9955,1.988793023255822,1.6502503875969041,-0.11655875647404912,-0.12064366612981992,0.008169819311541593,48.41095122105181,47.14190279447871,,0.4075028465272412
20130508,97.47093023255816,97.47093023255816,97.38372093023256,97.4031007751938,74555.55,749487.375,,,,,74555.55,98.78655891472867,,,60672.452000000005,54663.34450000001,1.9574434108527214,1.65747209302326,-0.22604031675493275,-0.1417229962548425,-0.1686346410001805,43.14072570884122,52.71373635506102,9.455253866139893,0.15443630747769
20130509,97.4127906976744,97.41763565891472,97.3827519379845,97.40213178294574,70532.83,709006.671,,,,,70532.83,98.79760542635658,,,63277.18600000001,55739.121999999996,1.6525131782945792,1.645165891472871,-0.30931780847336654,-0.1752419586985473,-0.26815169954963847,42.90422492571721,52.96198911192182,9.078428968008838,0.22733844512470291
20130510,97.39728682170542,97.46124031007751,97.3875968992248,97.43410852713178,84503.16,849431.659,,,,,84503.16,98.81141356589146,,,68099.482,57362.916000000005,1.344520155038765,1.6446813953488408,-0.3684878658849442,-0.2138911401358267,-0.309193451498235,47.99634059598936,47.45598551815341,7.564224388973846,0.2842410763262082
20130513,100.55,100.551,100.479,100.521,54418.12,547000.549,511010.SH,100.552,-0.031,-0.0308,54418.12,98.97816124031007,,,68230.86000000002,57285.602,1.3303821705426386,1.798830232558143,-0.1643991282334838,-0.20399273775535812,0.07918721904374865,48.1518185135196,47.48583908094833,7.107082250133955,3.431514716439321
20130514,100.533,100.533,100.5,100.513,58989.04,592943.254,511010.SH,100.521,-0.008,-0.008,58989.04,98.98871124031008,,,68599.74,57118.5015,1.314382170542639,1.644282558139539,-0.003265226902740892,-0.1638472355848347,0.3211640173641876,55.37848700261199,40.5855088445249,7.171394420383493,0.21036469861019924
20130515,97.3953488372093,97.39922480620156,97.3498062015504,97.35852713178296,71361.64,717178.504,,,,,71361.64,98.83903759689922,,,67960.95800000001,59078.05,1.6096015503876004,1.79834224806202,-0.1286223680324241,-0.15680226207435258,0.05635978808385694,42.48769297916169,54.19474020767135,7.853406161306416,-2.982972803947148
20130516,100.474,100.489,100.35,100.351,90090.52,904818.684,511010.SH,100.474,-0.123,-0.1224,90090.52,98.83533759689922,,,71872.496,61649.078,1.6156310077519407,1.949065891472872,0.01334491393780013,-0.12277282687192204,0.27223548161944433,56.029668264101595,40.59394103601841,8.094727416281925,-0.07368683096837803
20130517,100.4,100.509,100.371,100.456,70864.87,711980.607,511010.SH,100.351,0.105,0.1046,70864.87,98.83233759689922,,,69144.83799999999,62271.078,1.6191248062015533,1.9484158914728718,0.13279683099209194,-0.07165889529911924,0.40891145258242234,48.49240906250786,46.95381192181653,8.123887173098845,-0.05969198933503117
20130520,100.45,100.47,100.32,100.428,73534.23,738450.61,511010.SH,100.456,-0.028,-0.0279,73534.23,98.97965813953488,,,72968.06,62478.67050000001,1.6191054263565903,1.8013852713178338,0.2226375428609373,-0.012799607667107941,0.47087430105609046,48.59801159562295,47.31435068279746,7.207492626307754,3.022530591147232
20130521,97.29554263565892,97.32073643410853,97.18992248062015,97.23837209302324,94072.54,943985.682,,,,,94072.54,98.82362674418604,,,79984.76,64619.523499999996,1.6244441860465102,1.806618604651166,0.03604513316618352,-0.00303065950044965,0.07815158533326634,41.25101568901236,54.769968352372764,7.103342995872454,-3.109464927885641
20130522,100.355,100.389,100.335,100.371,86697.05,870085.365,511010.SH,100.35,0.021,0.0209,86697.05,98.99188604651162,,,83051.84199999999,66575.5885,1.624879069767441,1.7911612403100812,0.1393399713332144,0.025443466666283162,0.22779300933386248,54.53187695278102,41.431507520762054,7.952527560222349,3.4690560383578095
20130523,100.381,100.415,100.32,100.364,97745.26,981124.005,511010.SH,100.371,-0.007,-0.007,97745.26,99.01713604651162,,,84582.79,69195.937,1.6308906976744197,1.6417019379844995,0.2181226511355021,0.06397930356012696,0.3082866951507503,54.5048106264766,41.48244526339484,8.782468073060542,0.5057130554081413
20130524,100.371,100.403,100.369,100.38,72952.12,732328.752,511010.SH,100.364,0.016,0.0159,72952.12,99.1841496124031,,,85000.23999999999,70322.71949999999,1.6274263565891487,1.485973255813957,0.2786375979761999,0.10691096244334156,0.3434532710657167,54.77163553833937,41.38689282697532,8.90966012580059,3.442168855160044
20130527,100.389,100.5,100.389,100.484,92681.16,930644.288,511010.SH,100.38,0.104,0.1036,92681.16,99.2006496124031,,,88829.626,72750.0095,1.3277372093023274,1.3290596899224831,0.3311705324186107,0.1517628764383954,0.35881531196043065,48.01450253084154,47.84205812847909,8.827644904348034,0.32949258142460636
20130528,97.37403100775192,97.46124031007751,97.3468992248062,97.37403100775192,86570.87,869978.972,,,,,86570.87,99.05490116279069,,,87329.29199999999,73555.553,1.6381472868217073,1.4762647286821733,0.12046609668938402,0.14550352048859314,-0.05007484759841824,48.036941109417384,47.73112467663892,8.137095165531688,-2.906569007815496
20130529,97.38468992248062,97.39341085271316,97.33720930232558,97.36918604651164,91710.76,921557.81,,,,,91710.76,98.90551046511628,,,88332.034,75004.32149999999,1.3274480620155047,1.4685248062015526,-0.04637505182064672,0.10712780602674517,-0.30700571569478374,47.984856657109425,47.72372782987468,7.407193650106587,-2.9771854016046317
20130530,100.48,100.56,100.45,100.511,86998.8,874139.814,511010.SH,100.485,0.026,0.0259,86998.8,99.06201976744185,,,86182.742,76478.80350000001,1.3334821705426365,1.4745565891472885,0.07406647258019916,0.10051553933743597,-0.052898133514473616,55.12853715834862,41.19284198160159,8.400180470019384,3.214376548553699
20130531,97.39341085271316,97.48062015503876,97.38372093023256,97.38662790697674,79604.94,800199.296,,,,,79604.94,99.06201976744185,,,87513.30600000001,77439.46650000001,1.6304100775193802,1.6247674418604667,-0.0816522319347257,0.06408198508300364,-0.2914684340354587,41.54515127301606,54.629286630058125,9.322196926218467,0.0
20130603,100.285,100.285,100.18,100.209,91586.04,917748.147,511010.SH,100.223,-0.014,-0.014,91586.04,99.20420426356588,,,87294.28199999999,79330.70700000001,1.9052472868217052,1.7621763565891477,0.022422935560385326,0.05575017517847998,-0.0666544792361893,47.83636471319138,48.5276111808119,8.272353720688505,2.9206397229327274
20130604,100.203,100.259,100.175,100.205,80708.49,808662.781,511010.SH,100.209,-0.004,-0.004,80708.49,99.1879542635659,,,86121.80600000001,80508.8995,1.5898395348837213,1.6071418604651158,0.10338868860573314,0.06527787786393062,0.07622162148360503,54.3611838328009,41.21448350507257,8.389962014182048,-0.3232865811200636
20130605,100.192,100.225,100.17,100.18,116934.33,1171632.608,511010.SH,100.205,-0.025,-0.0249,116934.33,99.3267992248062,,,91166.52,82627.83849999998,1.2802767441860454,1.452577906976743,0.1636508747397727,0.08495247723909904,0.1573967950013473,47.08964503910268,47.74050739594634,7.29790744504685,2.8509351372861147
