trade_date,open,high,low,close,volume,amount,ts_code,pre_close,change,pct_chg,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d
20141216,96.0,96.0,94.902,94.93,1652.7,15706.092,511220.SH,97.137,-2.207,-2.272,1652.7,,,,,,,,0.0,0.0,0.0,,,,
20141217,6.170761830473219,6.177717108684347,6.149375975039002,6.169461778471139,1462.8,13884.472,,,,,1462.8,,,,,,,,-7.080612735620534,-1.4161225471241068,-11.328980376992854,,,,
20141218,85.911,94.801,85.911,94.131,926.5,8771.665,511220.SH,94.911,-0.78,-0.8218,926.5,,,,,,,,-5.5305357588409265,-2.2390051894674707,-6.583061138746912,,,,
20141219,94.0,94.299,93.5,94.13,426.1,4014.276,511220.SH,94.131,-0.001,-0.0011,426.1,,,,,,,,-4.253141708556726,-2.641832493285322,-3.2226184305428074,,,,
20141222,93.001,93.98,92.004,93.475,16.2,150.493,511220.SH,94.13,-0.655,-0.6958,16.2,,,,896.86,,,,-3.256116265074155,-2.764689247643089,-0.9828540348621324,,,,
20141223,6.077743109724389,6.123244929797192,6.071242849713989,6.116614664586583,571.8,5371.541,,,,,571.8,,,,680.6800000000001,,,,-9.406624320269515,-4.093076262168374,-10.627096116202281,,,,
20141224,6.110244409776391,6.175572022880915,6.110244409776391,6.123244929797192,44.7,422.296,,,,,44.7,,,,397.06,,,,-14.11767152959073,-6.097995315652846,-16.03935242787577,,,,
20141225,6.162246489859594,6.175247009880395,6.0978939157566305,6.142745709828393,185.3,1748.252,,,,,185.3,,,,248.82,,,,-17.646222169488446,-8.407640686419967,-18.47716296613696,,,,
20141226,6.1674466978679146,6.207748309932398,6.09724388975559,6.097308892355694,348.1,3275.171,,,,,348.1,,,,233.21999999999997,,,,-20.21328418710428,-10.76876938655683,-18.889029601094897,,,,
20141229,6.110244409776391,6.1231799271970875,6.077743109724389,6.1231799271970875,291.8,2744.261,,,,,291.8,,,,288.34000000000003,,,,-21.99210050938455,-13.013435611122375,-17.95732979652435,,,,
20141230,6.077808112324493,6.110179407176287,6.012805512220489,6.071242849713989,1382.15,12910.473,,,,,1382.15,,,,450.41,,26.814991575663026,,-23.139280921803532,-15.038604673258607,-16.20135249708985,,,,
20141231,6.059672386895476,6.119994799791992,6.045241809672387,6.109724388975559,2453.5,23052.483,,,,,2453.5,,,,932.1700000000001,,17.944404472178885,,-23.77130373271146,-16.78514448514918,-13.972318495124561,,,,
20150105,93.5,93.951,93.5,93.52,107.9,1013.595,511220.SH,93.992,-0.472,-0.5022,107.9,,,,916.6899999999999,,17.865378211128444,,-17.022680772483966,-16.832651742616136,-0.38005805973566,,,,
20150106,93.501,93.8,93.501,93.797,227.2,2127.929,511220.SH,93.52,0.277,0.2962,227.2,,,,892.51,,17.815378211128444,,-11.519210581166313,-15.769963510326171,8.501505858319717,,,,
20150107,93.5,93.9,93.5,93.5,65.11,610.821,511220.SH,93.797,-0.297,-0.3166,65.11,,,,847.1720000000001,,17.642778211128444,,-7.099794213824374,-14.035929651025812,13.872270874402876,49.51409455188131,49.41017127232797,,
20150108,6.077808112324493,6.09724388975559,6.077808112324493,6.09204368174727,686.7,6429.113,,,,,686.7,,,,708.082,,17.644621684867396,,-10.529093641279488,-13.334562449076548,5.610937615594121,49.70334695715558,49.22468550632,,
20150109,93.502,93.8,93.502,93.516,9.2,86.176,511220.SH,93.72,-0.204,-0.2177,9.2,,,,219.22200000000004,,26.408884555382212,,-6.121886208441772,-11.892027200949594,11.540281985015643,49.57316419691958,49.35293717893908,,
20150112,93.502,93.795,93.502,93.795,212.5,1987.214,511220.SH,93.516,0.279,0.2983,212.5,,,,240.142,,26.43044924596984,,-2.576924416806051,-10.029006644120885,14.904164454629669,49.64402763161054,49.42348580534296,,
