trade_date,open,high,low,close,volume
2019-08-12,3999.44,4055.05,3993.81,4027.89,0
2019-08-13,4006.96,4017.93,3926.91,3927.73,0
2019-08-14,3996.81,4006.23,3915.76,3915.76,0
2019-08-15,3862.76,3897.43,3838.67,3880.58,0
2019-08-16,3879.65,4033.24,3866.12,3998.33,0
2019-08-19,4068.33,4167.26,4066.31,4140.75,0
2019-08-20,4154.17,4299.39,4154.17,4275.88,0
2019-08-21,4276.82,4407.24,4271.43,4341.31,0
2019-08-22,4371.7,4430.31,4355.05,4375.27,0
2019-08-23,4372.03,4513.48,4323.74,4496.46,0
2019-08-26,4335.52,4448.21,4303.18,4426.74,0
2019-08-27,4454.95,4548.52,4453.71,4505.8,0
2019-08-28,4530.25,4530.36,4390.75,4395.95,0
2019-08-29,4410.1,4527.66,4358.24,4520.73,0
2019-08-30,4542.49,4592.77,4474.45,4502.93,0
2019-09-02,4502.07,4575.76,4479.19,4544.24,0
2019-09-03,4556.32,4586.85,4489.89,4499.44,0
2019-09-04,4518.89,4552.62,4492.42,4530.61,0
2019-09-05,4523.68,4627.6,4520.78,4581.61,0
2019-09-06,4616.67,4616.67,4535.26,4542.32,0
2019-09-09,4567.65,4573.35,4463.51,4477.92,0
2019-09-10,4485.54,4492.27,4429.19,4442.0,0
2019-09-11,4451.28,4452.68,4349.88,4367.1,0
2019-09-12,4396.29,4454.09,4354.96,4411.51,0
2019-09-13,4424.75,4440.16,4396.79,4440.16,0
2019-09-16,4428.75,4451.71,4400.2,4422.1,0
2019-09-17,4419.71,4421.59,4359.54,4378.63,0
2019-09-18,4390.13,4434.27,4381.25,4393.42,0
2019-09-19,4414.88,4427.21,4382.3,4407.83,0
2019-09-20,4427.92,4445.83,4400.95,4402.99,0
2019-09-23,4412.86,4417.73,4328.78,4338.63,0
2019-09-24,4339.94,4390.36,4203.91,4385.37,0
2019-09-25,4360.78,4360.78,4247.07,4257.18,0
2019-09-26,4264.57,4306.41,4258.0,4276.19,0
2019-09-27,4255.75,4260.29,4195.67,4242.61,0
2019-09-30,4241.18,4255.7,4219.77,4240.28,0
2019-10-02,4211.7,4258.59,4208.45,4231.28,0
2019-10-03,4201.66,4267.25,4198.94,4261.59,0
2019-10-04,4284.18,4348.54,4231.14,4278.49,0
2019-10-08,4286.68,4389.76,4272.59,4348.09,0
2019-10-09,4340.44,4346.49,4300.12,4325.98,0
2019-10-10,4337.74,4448.81,4320.77,4432.95,0
2019-10-11,4441.78,4478.65,4386.73,4433.23,0
2019-10-14,4454.03,4538.85,4454.03,4511.7,0
2019-10-15,4524.71,4562.63,4516.12,4523.21,0
2019-10-16,4526.81,4559.75,4516.09,4559.75,0
2019-10-17,4568.57,4609.08,4531.6,4570.73,0
2019-10-18,4575.54,4650.49,4565.61,4615.38,0
2019-10-21,4622.3,4666.48,4572.02,4588.62,0
2019-10-22,4599.35,4618.76,4558.08,4578.15,0
2019-10-23,4583.37,4587.8,4474.89,4491.91,0
2019-10-24,4511.85,4529.98,4484.8,4527.99,0
2019-10-25,4540.1,4638.15,4535.46,4628.19,0
2019-10-28,4646.25,4733.18,4638.42,4706.36,0
2019-10-29,4725.1,4765.83,4710.64,4756.66,0
2019-10-30,4776.47,4776.47,4695.82,4749.39,0
2019-10-31,4770.93,4843.36,4762.1,4793.67,0
2019-11-01,4746.36,4784.09,4729.51,4745.69,0
2019-11-04,4770.98,4870.72,4768.73,4866.61,0
2019-11-05,4870.75,4872.57,4784.97,4804.8,0
2019-11-06,4811.1,4829.15,4796.52,4814.08,0
2019-11-07,4831.33,4912.86,4822.17,4905.72,0
2019-11-08,4924.98,4946.14,4876.97,4894.74,0
2019-11-11,4899.66,4899.66,4763.11,4794.55,0
2019-11-12,4825.15,4827.82,4729.88,4792.86,0
2019-11-13,4748.09,4819.77,4722.09,4776.37,0
2019-11-14,4792.65,4832.76,4746.43,4767.05,0
2019-11-15,4787.03,4792.77,4757.83,4759.54,0
2019-11-18,4767.83,4774.08,4721.3,4758.54,0
2019-11-19,4777.62,4885.48,4753.3,4885.48,0
2019-11-20,4870.79,4906.44,4840.17,4854.5,0
2019-11-21,4834.04,4834.04,4731.85,4766.97,0
2019-11-22,4776.94,4786.72,4710.86,4756.17,0
2019-11-25,4773.65,4773.65,4660.52,4670.06,0
2019-11-26,4690.92,4760.58,4669.36,4685.02,0
2019-11-27,4673.43,4693.28,4652.3,4674.44,0
2019-11-28,4650.56,4700.87,4640.39,4688.62,0
2019-11-29,4628.68,4628.68,4471.95,4506.5,0
2019-12-02,4515.05,4515.05,4452.37,4462.32,0
2019-12-03,4456.13,4486.59,4429.08,4486.59,0
2019-12-04,4475.38,4488.5,4434.96,4444.39,0
2019-12-05,4483.94,4529.66,4481.52,4519.54,0
2019-12-06,4529.99,4591.87,4529.99,4586.2,0
2019-12-09,4599.69,4603.15,4492.4,4495.51,0
2019-12-10,4497.49,4521.99,4472.29,4484.01,0
2019-12-11,4476.4,4539.26,4476.4,4518.97,0
2019-12-12,4542.5,4568.84,4535.5,4552.55,0
2019-12-13,4595.0,4610.81,4568.19,4583.43,0
2019-12-16,4578.32,4620.39,4562.32,4596.76,0
2019-12-17,4611.24,4708.45,4611.24,4691.67,0
2019-12-18,4698.88,4706.25,4638.82,4674.42,0
2019-12-19,4682.6,4689.18,4648.66,4675.64,0
2019-12-20,4690.84,4709.9,4633.56,4656.38,0
2019-12-23,4668.25,4709.93,4656.33,4700.62,0
2019-12-24,4701.79,4715.93,4685.52,4692.45,0
2019-12-27,4716.58,4738.72,4693.55,4729.69,0
2019-12-30,4737.36,4737.36,4696.64,4713.17,0
2019-12-31,4712.61,4738.2,4696.98,4735.44,0
2020-01-02,4742.25,4769.75,4723.48,4769.26,0
2020-01-03,4803.31,4823.43,4729.69,4753.99,0
2020-01-06,4739.91,4739.91,4606.5,4630.73,0
2020-01-07,4657.25,4763.41,4652.07,4738.3,0
2020-01-08,4676.13,4739.04,4669.44,4705.42,0
2020-01-09,4752.23,4797.83,4741.77,4793.41,0
2020-01-10,4788.19,4800.28,4746.21,4762.29,0
2020-01-13,4776.9,4831.01,4773.99,4825.75,0
2020-01-14,4871.33,4877.99,4816.41,4829.85,0
2020-01-15,4832.19,4862.38,4818.71,4854.81,0
2020-01-16,4876.02,4974.55,4863.95,4974.55,0
2020-01-17,5012.05,5042.13,4942.95,5042.13,0
2020-01-20,5076.5,5147.17,5066.08,5099.2,0
2020-01-21,5113.29,5120.53,5019.9,5032.48,0
2020-01-22,5066.66,5137.63,5029.62,5133.18,0
2020-01-23,5146.48,5146.48,4916.3,4980.31,0
2020-01-24,4996.82,5016.59,4942.1,5012.51,0
2020-01-29,4911.38,4982.56,4906.61,4941.54,0
2020-01-30,4939.53,4957.72,4707.65,4731.45,0
2020-01-31,4791.1,4837.09,4685.86,4712.87,0
2020-02-03,4721.3,4834.51,4683.56,4761.97,0
2020-02-04,4863.65,4920.1,4818.19,4893.33,0
2020-02-05,4996.0,5031.66,4881.81,4943.35,0
2020-02-06,5001.65,5092.72,4953.88,5053.72,0
2020-02-07,5050.36,5122.95,5009.57,5072.31,0
2020-02-10,5042.78,5162.55,5042.78,5154.95,0
2020-02-11,5195.48,5218.08,5128.12,5147.07,0
2020-02-12,5186.46,5189.68,5125.86,5172.06,0
2020-02-13,5197.23,5207.75,5123.5,5183.68,0
2020-02-14,5182.99,5242.83,5162.81,5183.92,0
2020-02-17,5197.96,5295.1,5189.8,5255.49,0
2020-02-18,5257.21,5287.8,5221.72,5262.58,0
2020-02-19,5286.72,5302.07,5207.49,5225.3,0
2020-02-20,5281.32,5284.69,5198.8,5239.58,0
2020-02-21,5216.28,5231.7,5159.77,5173.75,0
2020-02-24,5163.19,5163.19,5053.04,5061.73,0
2020-02-25,5032.14,5124.76,5017.82,5120.95,0
2020-02-26,5070.2,5106.57,5017.42,5031.99,0
2020-02-27,5025.11,5121.49,5023.49,5105.09,0
2020-02-28,5012.87,5069.48,4924.52,4995.82,0
2020-03-02,4991.26,5108.06,4990.09,5073.75,0
2020-03-03,5143.38,5258.98,5134.26,5148.84,0
2020-03-04,5186.32,5186.32,5106.71,5159.89,0
2020-03-05,5206.91,5336.68,5206.91,5294.17,0
2020-03-06,5242.78,5347.84,5240.9,5283.15,0
2020-03-09,5121.29,5136.4,4986.12,5001.64,0
2020-03-10,5007.96,5051.13,4852.79,4983.54,0
2020-03-11,5015.02,5049.61,4931.59,4955.15,0
2020-03-12,4899.89,4899.89,4676.22,4693.88,0
2020-03-13,4346.42,4685.14,4290.39,4660.1,0
2020-03-16,4569.5,4631.79,4328.6,4348.71,0
2020-03-17,4326.77,4394.36,4147.5,4345.38,0
2020-03-18,4345.41,4512.48,4139.77,4190.41,0
2020-03-19,4194.51,4245.42,3921.95,4052.58,0
2020-03-20,4138.67,4274.95,4113.09,4268.47,0
2020-03-23,4104.0,4183.35,4062.82,4062.82,0
2020-03-24,4201.05,4280.67,4193.37,4244.58,0
2020-03-25,4406.97,4487.94,4351.15,4470.12,0
2020-03-26,4488.34,4594.83,4449.92,4551.92,0
2020-03-27,4671.46,4695.24,4491.32,4507.46,0
2020-03-30,4457.77,4528.69,4413.57,4479.96,0
2020-03-31,4496.18,4526.02,4439.42,4497.38,0
2020-04-01,4459.15,4517.27,4361.33,4411.84,0
2020-04-02,4445.84,4574.97,4396.07,4574.97,0
2020-04-03,4567.33,4652.52,4554.02,4617.71,0
2020-04-06,4668.83,4739.52,4606.14,4715.0,0
2020-04-07,4783.95,4802.51,4718.17,4798.37,0
2020-04-08,4805.34,4816.99,4758.03,4789.72,0
2020-04-09,4842.56,4920.24,4810.81,4900.27,0
2020-04-14,4936.5,5026.52,4919.31,4984.77,0
2020-04-15,5011.34,5092.0,4954.87,4971.98,0
2020-04-16,4969.5,5050.45,4955.68,5029.93,0
2020-04-17,5111.43,5141.4,5004.69,5029.83,0
2020-04-20,5047.79,5183.0,5041.96,5181.77,0
2020-04-21,5151.29,5151.29,5001.83,5050.69,0
2020-04-22,5003.71,5240.91,4977.61,5210.8,0
2020-04-23,5257.93,5328.81,5241.08,5263.66,0
2020-04-24,5260.56,5260.56,5102.3,5113.64,0
2020-04-27,5174.14,5208.96,5112.79,5194.97,0
2020-04-28,5217.11,5223.08,5114.53,5196.88,0
2020-04-29,5257.2,5257.2,5119.02,5153.11,0
2020-05-04,5044.85,5044.85,4952.02,4964.55,0
2020-05-05,5002.63,5055.31,4966.08,5017.73,0
2020-05-06,5051.62,5130.86,5038.21,5104.67,0
2020-05-07,5123.09,5207.36,5109.64,5184.24,0
2020-05-08,5227.75,5253.92,5189.17,5242.5,0
2020-05-11,5299.45,5348.61,5223.62,5271.48,0
2020-05-12,5278.03,5366.09,5259.23,5360.0,0
2020-05-13,5360.2,5515.97,5330.78,5447.84,0
2020-05-14,5439.98,5453.02,5374.28,5416.5,0
2020-05-15,5441.83,5517.65,5407.65,5494.22,0
2020-05-18,5506.53,5561.64,5381.99,5516.07,0
2020-05-19,5605.08,5613.7,5476.57,5496.12,0
2020-05-20,5508.7,5593.34,5500.47,5563.42,0
2020-05-21,5582.9,5611.09,5428.48,5473.99,0
2020-05-22,5355.25,5379.92,5107.42,5172.6,0
2020-05-25,5156.78,5247.96,5104.28,5247.64,0
